comments,date
Protect him at all cost. Kahit na guilty sya dahil sya lang ang pinaka credible witness at pinaka malapit sa mga totoong sangkot,11/19/2025
AI daw po video nyo Sabi ni Ante Claire,11/19/2025
Tama si mike defensor..naniniwla sya ky co 1000 percent,11/19/2025
Ibunyag mo sana sino ang tunay na mastermind sa pagpapadala kay FPRRD SA HAGUE,11/19/2025
It is more credible if do it live.,11/19/2025
Ang pagsasabi ng totoo ay makakapagpagaan ng mabigat na kalooban. Face your consequence. Mahirap ang pinagdaraanan mo ngaun pero alam natin dapat May kaparusahan ang mga nagawang mali. Hindi magwawagi ang kasamaan.,11/19/2025
The most awaited update sa Facebook!,11/19/2025
"Mag live po kau, dami nila palusot!",11/19/2025
"Salamat po sa pag butyag ng katotohanan,",11/19/2025
Isiwalat Muna Ang lahat cong,11/19/2025
"Pwede po yung behind the scene sa ""The Flight to the Hague""",11/19/2025
Bongbong Marcos nood na po kayo mahal na Presidente.,11/19/2025
Magkano binayad sa ICC The Hague?,11/19/2025
God is good All The Time,11/19/2025
Sir kanta nyu na lahat ng alam nyu pati dun sa pagkidnapped Kay prrd,11/19/2025
ISIWALAT mo ang katutuhanan dahil ang DIYOS ay nalulugod sa taong Taos pusong gusto magbago....kung totoo mga sinasabi mo nakatutok sau ang 31MILLION na tao ...gabayan ka nawa ng panginoon at lumakad ka sa Daan matuwid..tungo sa katutuhanan at hulihin ang TUNAY na mastermind ng NAKAWAN.,11/19/2025
pgnssauli mupo ung pera ng bayan at ikanta ang pinakamaster mind..bilib n akonsayu n ngsasabi k ngtotoo,11/19/2025
Kahit papa'no nabawas bawasan galit namin sa'yo Cong. More upload pa.,11/19/2025
sabihin nio n po lht ng nalalaman nio at kung maari wag n po muna kayo bumalik delikado po buhay nio dito..,11/19/2025
Ito na ito na..,11/19/2025
"sabhin muna sir lahat2 para matapos na ang lahat,,",11/19/2025
mglabas kna ng mga video at evidence pra mas exciting na!,11/19/2025
"Sana cong Zaldy Yung tungkol na naman sa pag kidnap ni tatay FPRRD,",11/19/2025
Season finale na..,11/19/2025
Medyo mahaba yung video pero honestly worth every minute kasi napakinggan ko talaga yung kabuuang paliwanag mo. Ang dami kasing nagbibigay ng opinion na hindi naman nakikita yung buong picture. Nakakagaan ng loob marinig na deretsong in-explain mo yung side mo nang walang paligoy. Mas lumilinaw tuloy yung issue para sa akin.,11/20/2025
Sana isiwalat mo rin magkano binayad nyo sa mga congressman na nag sign sa impeachment ni VP! Magkano binayad nyo sa mga Generals sa pag kidnap kay PRRD!,11/19/2025
Sec. Mina sana mag salita na din,11/19/2025
Please pakilabas na ng lahat! All evidence na,11/19/2025
Apila nlang pud sir pati Ang pag kidnap Kay PRRD pati sa impeachment ni VP,11/19/2025
sa finale… mgbigay ka ng video Rep. Zaldy Co para wla ng kawala,11/19/2025
Mr co ipaliwanag mo na rin Ang papel ni bbm remulla sa pagkidnap Kay prrd,11/19/2025
Pwede po bang sa part 4 ang pagbukas po nang maleta???,11/19/2025
Nxt video sir Rep. Zaldy Co ilabas nyo na po lahat ....,11/19/2025
"Kung pwede mag zoom meeting kayo ni Sen. Marcoleta, Cong. Kiko Barzaga bukas November 18 at i connect sa tv screen sa Edsa at sa Quirino grandstand, para wala na silang masabi na AI itong video nyo Sir Zaldy. Maraming salamat po",11/19/2025
bilisan mo ang part 3 mamaya maunahan ka pa nila ingat nlng po sa buhay niyo salamat po ang nagsalita na kayo ng totoo Sana panindigan mo ito hanggang dulo Sana hind magbago ang mga sinabi sa ganitong paraan manlang makabawi kayo sa mamayang PILIPINO,11/19/2025
"Sana mr co, lahat ng alam mong panggigipit sa mga Duterte isiwalat mo na din..sana lahat ng resibo, pati ebidensya (video o convo) ilabas nyo na din po.. Yaman din lang at inumpisahan nyo na.",11/19/2025
Salamat sir sa inyong katapangan.,11/19/2025
Salamat po sa kanta nyo nasa tono po kayo. Ingat po kayo lagi hintayin ko po ulit ang sunod nyo kanta.,11/19/2025
Keep safe po. Praying for you and your family.,11/19/2025
Truth and Justice shall always prevail,11/19/2025
Zaldy Co wants to profit from FB so he cut this video into three I think.,11/19/2025
Praying for your safety Cong. Zaldy. May the Lord God guide you always,11/19/2025
Ang kakapal ng mukha nitong mag pinsan…di natutulog Ang Diyos tandaan nyo yan,11/19/2025
Better to burst it all out before it’s too late po! Hoping po sa susunod na video sana andun na lahat lahat pati yung sino sino talaga sila with the evidence po. Salamat po,11/19/2025
"Ninakawan na kayo ng bilyon bilyon harap harapan DDS, KAKAMPINK AT BBM pa din nasa isip nyo. Hindi ba pwede yung pilipinas isipin nyo. Dahil lahat naman tayo pilipino.",11/19/2025
Oo mga shimenet Rep. Zaldy Co Ibulgar mo sino utak sa Signature campaign kay Inday Sara Duterte at yung mga cong sa wuadcom name drop mo na din kung involved...Confession ninyo na po ito...lahatin mo nah po...,11/19/2025
Ang laki ng pera tapos utang pa ng utang sa ibang bansa.. wala naman proyekto.. sure ipinambayad sa icc.,11/19/2025
Sir basin naa kay nahibaw-an Sa The Hague Pag kidnap ni Tatay Digong,11/19/2025
Pagkidnap po kay PRRD baka pwede nyung isalaysay kung sinong mastermind,11/19/2025
Tagal po ng part 4,11/19/2025
Isiwalat mo na lahat ng nalalaman mo. Pati yung binayad sa mga Congressman para pumirma sa impeachment ni VP,11/19/2025
Salute to you sir!,11/19/2025
Isiwalat mo na po lahat lahat!!!!,11/19/2025
Maliit na rin ang ginagalawan mo isama mo na mga congressman na Kasama nyo na mga corrupt... Pinagkaisahan ka na rin nila at di Sila naniniwala sa mga sinasabi mo.,11/19/2025
