comments,date,translated_comments,cleaned_comments
Protect him at all cost. Kahit na guilty sya dahil sya lang ang pinaka credible witness at pinaka malapit sa mga totoong sangkot,11/19/2025,Protect him at all costs. Even if he is guilty because he is the only credible witness and closest to the real people involved,protect cost even guilty credible witness closest real people involved
AI daw po video nyo Sabi ni Ante Claire,11/19/2025,Ante Claire said that your video is AI,ante claire said video ai
Tama si mike defensor..naniniwla sya ky co 1000 percent,11/19/2025,It's right to lose Defensor.. he's already in the coin,right lose defensor he already coin
Ibunyag mo sana sino ang tunay na mastermind sa pagpapadala kay FPRRD SA HAGUE,11/19/2025,Please reveal who is the real mastermind in sending FPRRD TO THE HAGUE,please reveal real mastermind sending fprrd hague
It is more credible if do it live.,11/19/2025,It is more credible if do it live.,credible live
Ang pagsasabi ng totoo ay makakapagpagaan ng mabigat na kalooban. Face your consequence. Mahirap ang pinagdaraanan mo ngaun pero alam natin dapat May kaparusahan ang mga nagawang mali. Hindi magwawagi ang kasamaan.,11/19/2025,Telling the truth can lighten a heavy mood. Face your consequences. What you are going through is difficult but we know that there must be punishment for those who have done wrong. Evil will not win.,telling truth lighten heavy mood face consequence going difficult know must punishment done wrong evil win
The most awaited update sa Facebook!,11/19/2025,The most awaited update sa Facebook!,awaited update sa facebook
"Mag live po kau, dami nila palusot!",11/19/2025,"Go live, they have many excuses!",go live many excuse
"Salamat po sa pag butyag ng katotohanan,",11/19/2025,"Thank you for revealing the truth,",thank revealing truth
Isiwalat Muna Ang lahat cong,11/19/2025,Reveal everything first,reveal everything first
"Pwede po yung behind the scene sa ""The Flight to the Hague""",11/19/2025,"Pwede po yung behind the scene sa ""The Flight to the Hague""",pwede po yung behind scene sa flight hague
Bongbong Marcos nood na po kayo mahal na Presidente.,11/19/2025,Bongbong Marcos nood you dear President.,bongbong marcos nood dear president
Magkano binayad sa ICC The Hague?,11/19/2025,How much was paid to ICC The Hague?,much paid icc hague
God is good All The Time,11/19/2025,God is good All The Time,god good time
Sir kanta nyu na lahat ng alam nyu pati dun sa pagkidnapped Kay prrd,11/19/2025,"Sir, your song is all you know about the kidnapping of Kay prrd",sir song know kidnapping kay prrd
ISIWALAT mo ang katutuhanan dahil ang DIYOS ay nalulugod sa taong Taos pusong gusto magbago....kung totoo mga sinasabi mo nakatutok sau ang 31MILLION na tao ...gabayan ka nawa ng panginoon at lumakad ka sa Daan matuwid..tungo sa katutuhanan at hulihin ang TUNAY na mastermind ng NAKAWAN.,11/19/2025,"REVEAL the truth because GOD is pleased with a person with a sincere heart who wants to change....if what you say is true, 31 MILLION people are focused on you...may the lord guide you and walk on the right path..toward the truth and catch the REAL mastermind of the STEAKER.",reveal truth god pleased person sincere heart want changeif say true 31 million people focused youmay lord guide walk right pathtoward truth catch real mastermind steaker
pgnssauli mupo ung pera ng bayan at ikanta ang pinakamaster mind..bilib n akonsayu n ngsasabi k ngtotoo,11/19/2025,Pgnssauli take the people's money and sing the best master mind..I love you when I tell the truth,pgnssauli take people money sing best master mindi love tell truth
Kahit papa'no nabawas bawasan galit namin sa'yo Cong. More upload pa.,11/19/2025,"Even if it is reduced, we hate you Cong. More uploads.",even reduced hate cong uploads
